DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS,EXPECTED_GOALS_HOME,EXPECTED_GOALS_AWAY,TEAM_POSSESION_HOME,TEAM_POSSESION_AWAY,TOTAL_SHOTS_HOME,TOTAL_SHOTS_AWAY,SHOTS_ON_TARGET_HOME,SHOTS_ON_TARGET_AWAY,BIG_CHANCES_HOME,BIG_CHANCES AWAY,CORNERS_HOME,CORNERS_AWAY,%_PASSES_SUCCEED_HOME,%_PASSES_SUCCEED_AWAY,EXPECTED_GOALS_REMATES_À_BALIZA_HOME,EXPECTED_GOALS_REMATES_À_BALIZA_AWAY,SHOTS_OF_TARGET_HOME,SHOTS_OF_TARGET_AWAY,BLOCKED_SHOTS_HOME,BLOCKED_SHOTS_AWAY,SHOTS_INSIDE_THE_BOX_HOME,SHOTS_INSIDE_THE_BOX_AWAY,SHOTS_OUTSIDE_THE_BOX_HOME,SHOTS_OUTSIDE_THE_BOX_AWAY,SHOTS_AT_CROSSBAR_HOME,SHOTS_AT_CROSSBAR_AWAY,TOUCHES_IN_THE_OPPOSITION_AREA_HOME,TOUCHES_IN_THE_OPPOSITION_AREA_AWAY,ACCURATE_DEEP_PASSES_HOME,ACCURATE_DEEP_PASSES_AWAY,OFFSIDES_HOME,OFFSIDES_AWAY,FREE_KICK_HOME,FREE_KICK_AWAY,%_LONG_PASSES_HOME,%_LONG_PASSES_AWAY,%_PASSES_FINAL_THIRD_HOME,%_PASSES_FINAL_THIRD_AWAY,%_CROSSES_HOME,%_CROSSES_AWAY,EXPECTED_ASSISTS_HOME,EXPECTED_ASSISTS_AWAY,THROWS_HOME,THROWS_AWAY,FOULS_HOME,FOULS_AWAY,%_TACKLES_HOME,%_TACKLES_AWAY,DUELS_WON_HOME,DUELS_WON_AWAY,CLEARENCES_HOME,CLEARENCES_AWAY,INTERCEPTIONS_HOME,INTERCEPTIONS_AWAY,ERRORS_THAT_LEAD_TO_SHOTS_HOME,ERRORS_THAT_LEAD_TO_SHOTS_AWAY,ERROS_THAT_LEAD_TO_GOAL_HOME,ERROS_THAT_LEAD_TO_GOAL_AWAY,EXPECTED_GOALS_ON_TARGET_FACED_HOME,EXPECTED_GOALS_ON_TARGET_FACED_AWAY,GOLS_PREVENTED_HOME,GOLS_PREVENTED_AWAY
01-09-2025,Internacional,Fortaleza,2,1,2.30,0.62,52%,48%,14,10,6,3,5,2,4,5,86%,84%,1.51,0.34,4,2,4,5,11,7,3,3,1,0,29,17,0,1,1,3,12,15,41%,53%,73%,73%,40%,30%,1.96,0.77,18,17,16,14,53%,67%,54,58,31,25,8,11,1,0,0,0,0.34,1.51,-0.66,-0.49
01-09-2025,Sport Recife,Vasco,2,3,1.64,1.71,55%,45%,14,10,4,7,1,3,10,5,85%,84%,1.13,2.16,5,2,5,1,7,8,7,2,0,0,28,16,0,1,3,0,9,7,50%,38%,72%,64%,28%,36%,1.60,1.15,18,15,9,10,80%,57%,40,39,11,40,7,7,0,0,0,0,2.16,1.13,-0.84,-0.87
31-08-2025,Corinthians,Palmeiras,1,1,0.37,2.17,42%,58%,9,19,1,7,0,3,3,10,74%,82%,0.01,3.12,5,8,3,4,3,10,6,9,0,0,9,33,0,2,1,2,16,17,35%,42%,57%,73%,11%,26%,0.22,1.27,14,20,18,16,65%,65%,63,58,39,18,8,9,1,0,0,0,3.12,0.01,2.12,0.01
31-08-2025,Mirassol,Bahia,5,1,3.02,0.80,39%,61%,15,15,9,6,5,1,4,2,85%,89%,4.01,0.54,2,5,4,4,12,8,3,7,1,1,28,23,1,2,2,0,6,13,59%,57%,74%,82%,29%,27%,1.98,1.43,15,16,13,7,44%,56%,36,46,18,23,11,9,0,0,0,0,0.54,4.01,-0.46,0.01
31-08-2025,Vitoria,Atletico-MG,1,0,0.84,0.63,29%,71%,14,19,4,5,2,0,2,5,72%,87%,1.45,0.33,7,10,3,4,7,7,7,12,1,2,13,21,0,1,3,3,12,20,33%,58%,57%,78%,27%,30%,0.21,0.73,16,22,20,13,64%,57%,49,56,33,13,8,7,0,1,0,0,0.33,1.45,0.33,0.45
31-08-2025,Flamengo,Gremio,1,1,1.64,0.93,67%,33%,21,6,6,1,2,1,13,0,90%,79%,1.31,0.90,8,4,7,1,11,4,10,2,0,1,35,9,0,0,1,1,11,16,63%,38%,78%,51%,22%,20%,1.79,0.10,13,16,18,11,69%,56%,46,50,16,52,13,7,0,2,0,0,0.90,1.31,-0.10,0.31
31-08-2025,Santos,Fluminense,0,0,0.54,0.18,50%,50%,9,5,2,0,0,0,6,1,82%,80%,0.53,0.00,5,3,2,2,6,2,3,3,0,0,14,14,0,1,7,1,18,12,45%,41%,69%,64%,20%,13%,0.58,0.34,17,27,13,19,75%,58%,60,46,27,21,12,10,0,0,0,0,0.00,0.53,0.00,-0.47
31-08-2025,Cruzeiro,Sao Paulo,1,0,0.94,0.92,40%,60%,12,14,7,5,3,2,6,9,79%,87%,1.65,1.06,2,4,3,5,5,9,7,5,1,0,16,21,0,0,1,1,8,10,49%,49%,63%,75%,15%,15%,0.24,0.56,14,18,11,9,50%,67%,39,48,22,18,11,12,0,0,0,0,1.06,1.65,1.06,0.65
30-08-2025,Botafogo RJ,RB Bragantino,4,1,2.14,0.37,51%,49%,17,7,6,3,3,1,6,8,88%,85%,2.15,0.54,8,2,3,2,10,3,7,4,1,0,24,14,0,0,6,1,15,10,55%,58%,83%,60%,33%,30%,1.37,0.27,14,17,10,15,50%,58%,49,53,21,13,12,4,0,2,0,0,0.54,2.15,-0.46,-1.85
30-08-2025,Ceara,Juventude,0,1,0.74,0.45,57%,43%,13,10,7,2,2,0,4,5,85%,81%,1.41,0.26,2,6,4,2,7,7,6,3,0,0,24,13,0,0,2,0,25,17,47%,51%,69%,64%,30%,22%,1.05,0.70,20,14,17,26,67%,47%,61,55,23,29,5,7,0,1,0,0,0.26,1.41,-0.74,1.41
