DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS,EXPECTED_GOALS_HOME,EXPECTED_GOALS_AWAY,TEAM_POSSESION_HOME,TEAM_POSSESION_AWAY,TOTAL_SHOTS_HOME,TOTAL_SHOTS_AWAY,SHOTS_ON_TARGET_HOME,SHOTS_ON_TARGET_AWAY,BIG_CHANCES_HOME,BIG_CHANCES AWAY,CORNERS_HOME,CORNERS_AWAY,%_PASSES_SUCCEED_HOME,%_PASSES_SUCCEED_AWAY,EXPECTED_GOALS_REMATES_À_BALIZA_HOME,EXPECTED_GOALS_REMATES_À_BALIZA_AWAY,SHOTS_OF_TARGET_HOME,SHOTS_OF_TARGET_AWAY,BLOCKED_SHOTS_HOME,BLOCKED_SHOTS_AWAY,SHOTS_INSIDE_THE_BOX_HOME,SHOTS_INSIDE_THE_BOX_AWAY,SHOTS_OUTSIDE_THE_BOX_HOME,SHOTS_OUTSIDE_THE_BOX_AWAY,SHOTS_AT_CROSSBAR_HOME,SHOTS_AT_CROSSBAR_AWAY,TOUCHES_IN_THE_OPPOSITION_AREA_HOME,TOUCHES_IN_THE_OPPOSITION_AREA_AWAY,ACCURATE_DEEP_PASSES_HOME,ACCURATE_DEEP_PASSES_AWAY,OFFSIDES_HOME,OFFSIDES_AWAY,FREE_KICK_HOME,FREE_KICK_AWAY,%_LONG_PASSES_HOME,%_LONG_PASSES_AWAY,%_PASSES_FINAL_THIRD_HOME,%_PASSES_FINAL_THIRD_AWAY,%_CROSSES_HOME,%_CROSSES_AWAY,EXPECTED_ASSISTS_HOME,EXPECTED_ASSISTS_AWAY,THROWS_HOME,THROWS_AWAY,FOULS_HOME,FOULS_AWAY,%_TACKLES_HOME,%_TACKLES_AWAY,DUELS_WON_HOME,DUELS_WON_AWAY,CLEARENCES_HOME,CLEARENCES_AWAY,INTERCEPTIONS_HOME,INTERCEPTIONS_AWAY,ERRORS_THAT_LEAD_TO_SHOTS_HOME,ERRORS_THAT_LEAD_TO_SHOTS_AWAY,ERROS_THAT_LEAD_TO_GOAL_HOME,ERROS_THAT_LEAD_TO_GOAL_AWAY,EXPECTED_GOALS_ON_TARGET_FACED_HOME,EXPECTED_GOALS_ON_TARGET_FACED_AWAY,GOLS_PREVENTED_HOME,GOLS_PREVENTED_AWAY
14-09-2025,Monchengladbach,Bremen,0,4,1.51,2.12,55%,45%,19,12,3,7,2,3,9,4,85%,82%,0.36,3.22,9,4,7,1,10,9,9,3,0,1,35,19,0,1,0,1,7,12,38%,29%,70%,73%,29%,13%,1.62,1.00,14,18,12,9,57%,38%,42,51,18,34,7,10,1,0,0,0,3.22,0.36,-0.78,0.36
14-09-2025,St. Pauli,Augsburg,2,1,1.56,0.66,57%,43%,13,10,7,5,3,1,3,1,80%,80%,2.30,1.17,3,4,3,1,8,6,5,4,0,0,32,21,1,0,0,3,11,10,31%,34%,65%,56%,35%,20%,1.22,1.19,20,22,10,12,50%,88%,56,55,27,39,5,10,0,0,1,0,1.17,2.30,0.17,0.30
13-09-2025,Bayern,Hamburger SV,5,0,2.68,0.56,71%,29%,22,9,12,2,4,0,5,3,92%,84%,2.63,0.45,6,4,4,3,12,9,10,0,0,0,50,17,0,0,1,2,14,11,65%,51%,85%,80%,24%,23%,2.15,0.65,16,17,11,14,63%,45%,32,32,17,26,7,8,0,0,0,0,0.45,2.63,0.45,-2.37
13-09-2025,Freiburg,Stuttgart,3,1,1.55,0.53,46%,54%,14,7,6,2,3,0,7,1,77%,83%,3.06,0.91,3,4,5,1,10,4,4,3,0,0,25,15,1,0,0,2,12,8,45%,42%,67%,73%,10%,43%,1.02,1.12,23,14,8,13,67%,60%,49,50,19,61,12,13,0,1,0,0,0.91,3.06,-0.09,0.06
13-09-2025,Heidenheim,Dortmund,0,2,0.40,2.76,25%,75%,6,17,1,8,1,3,5,4,69%,91%,0.17,4.59,4,6,1,3,3,15,3,2,0,0,9,42,0,1,2,2,9,4,41%,64%,52%,85%,43%,18%,0.39,4.86,7,25,5,9,55%,89%,32,36,35,11,19,7,1,1,0,0,4.59,0.17,2.59,0.17
13-09-2025,Mainz,RB Leipzig,0,1,0.90,1.79,56%,44%,13,19,2,3,0,2,3,5,74%,72%,0.49,0.45,7,10,4,6,10,11,3,8,1,2,36,23,0,3,4,1,10,12,44%,34%,60%,65%,4%,20%,0.85,0.94,23,20,12,11,50%,31%,53,65,19,60,13,16,0,0,0,0,0.45,0.49,-0.55,0.49
13-09-2025,Union Berlin,Hoffenheim,2,4,2.60,2.76,42%,58%,20,9,7,8,5,6,9,2,70%,77%,2.06,4.33,9,1,4,0,14,9,6,0,0,0,32,24,0,0,2,0,12,12,42%,35%,55%,58%,23%,36%,0.85,0.78,30,25,13,12,80%,71%,62,72,32,59,13,8,0,0,1,1,4.33,2.06,0.33,0.06
13-09-2025,Wolfsburg,FC Koln,3,3,1.49,1.65,56%,44%,14,14,6,8,4,2,7,4,86%,81%,1.98,3.34,5,2,3,4,9,10,5,4,0,0,19,24,0,0,0,1,11,15,57%,38%,79%,67%,33%,14%,1.48,1.12,14,26,15,11,77%,67%,41,46,33,17,4,7,0,1,0,0,3.34,1.98,0.34,-1.02
12-09-2025,Leverkusen,Frankfurt,3,1,2.12,0.65,39%,61%,18,13,8,2,5,1,4,8,78%,86%,2.24,0.47,9,9,1,2,11,7,7,6,1,1,20,22,1,1,3,0,9,10,45%,44%,65%,78%,43%,31%,0.85,0.96,19,18,10,9,48%,69%,68,37,28,18,4,3,0,2,0,0,0.47,2.24,-0.53,0.24
31-08-2025,FC Koln,Freiburg,4,1,2.11,0.91,39%,61%,18,12,6,2,4,2,3,5,79%,85%,2.69,0.93,7,8,5,2,12,8,6,4,0,0,25,26,0,1,1,2,7,12,37%,51%,62%,72%,64%,21%,1.30,1.60,12,21,12,9,78%,38%,37,46,48,17,5,4,0,1,0,1,0.93,2.69,-0.07,-1.31
