DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS,EXPECTED_GOALS_HOME,EXPECTED_GOALS_AWAY,TEAM_POSSESION_HOME,TEAM_POSSESION_AWAY,TOTAL_SHOTS_HOME,TOTAL_SHOTS_AWAY,SHOTS_ON_TARGET_HOME,SHOTS_ON_TARGET_AWAY,BIG_CHANCES_HOME,BIG_CHANCES AWAY,CORNERS_HOME,CORNERS_AWAY,%_PASSES_SUCCEED_HOME,%_PASSES_SUCCEED_AWAY,EXPECTED_GOALS_REMATES_À_BALIZA_HOME,EXPECTED_GOALS_REMATES_À_BALIZA_AWAY,SHOTS_OF_TARGET_HOME,SHOTS_OF_TARGET_AWAY,BLOCKED_SHOTS_HOME,BLOCKED_SHOTS_AWAY,SHOTS_INSIDE_THE_BOX_HOME,SHOTS_INSIDE_THE_BOX_AWAY,SHOTS_OUTSIDE_THE_BOX_HOME,SHOTS_OUTSIDE_THE_BOX_AWAY,SHOTS_AT_CROSSBAR_HOME,SHOTS_AT_CROSSBAR_AWAY,TOUCHES_IN_THE_OPPOSITION_AREA_HOME,TOUCHES_IN_THE_OPPOSITION_AREA_AWAY,ACCURATE_DEEP_PASSES_HOME,ACCURATE_DEEP_PASSES_AWAY,OFFSIDES_HOME,OFFSIDES_AWAY,FREE_KICK_HOME,FREE_KICK_AWAY,%_LONG_PASSES_HOME,%_LONG_PASSES_AWAY,%_PASSES_FINAL_THIRD_HOME,%_PASSES_FINAL_THIRD_AWAY,%_CROSSES_HOME,%_CROSSES_AWAY,EXPECTED_ASSISTS_HOME,EXPECTED_ASSISTS_AWAY,THROWS_HOME,THROWS_AWAY,FOULS_HOME,FOULS_AWAY,%_TACKLES_HOME,%_TACKLES_AWAY,DUELS_WON_HOME,DUELS_WON_AWAY,CLEARENCES_HOME,CLEARENCES_AWAY,INTERCEPTIONS_HOME,INTERCEPTIONS_AWAY,ERRORS_THAT_LEAD_TO_SHOTS_HOME,ERRORS_THAT_LEAD_TO_SHOTS_AWAY,ERROS_THAT_LEAD_TO_GOAL_HOME,ERROS_THAT_LEAD_TO_GOAL_AWAY,EXPECTED_GOALS_ON_TARGET_FACED_HOME,EXPECTED_GOALS_ON_TARGET_FACED_AWAY,GOLS_PREVENTED_HOME,GOLS_PREVENTED_AWAY
14-09-2025,Telstar,Sittard,1,3,1.97,1.14,56%,44%,18,9,7,6,4,3,10,1,82%,78%,1.81,1.72,5,1,6,2,13,8,5,1,0,0,29,20,0,0,2,1,15,14,49%,38%,73%,55%,29%,22%,1.30,1.26,22,11,14,17,92%,67%,61,46,6,33,4,7,0,0,1,0,1.72,1.81,-1.28,0.81
14-09-2025,Heracles,Alkmaar,1,2,1.36,2.60,52%,48%,19,25,6,8,1,5,6,9,83%,85%,1.51,1.99,10,9,3,8,8,13,11,12,1,0,18,25,0,0,0,1,11,11,41%,51%,70%,80%,17%,28%,0.59,1.21,16,10,11,11,53%,58%,55,53,15,41,4,4,0,1,0,0,1.99,1.51,-0.01,0.51
14-09-2025,Utrecht,Groningen,0,1,1.31,1.58,45%,55%,14,13,3,6,0,2,3,4,73%,77%,0.57,1.71,8,3,3,4,9,9,5,4,0,0,13,19,0,0,1,1,16,9,41%,49%,55%,60%,37%,23%,0.80,1.15,19,22,9,16,58%,68%,58,65,24,26,10,4,1,0,0,0,1.71,0.57,0.71,0.57
14-09-2025,Excelsior,Sparta Rotterdam,0,1,1.56,1.65,53%,47%,17,19,4,7,3,2,7,2,79%,77%,0.49,2.16,4,5,9,7,12,12,5,7,1,0,33,30,1,0,1,1,8,10,44%,42%,66%,61%,17%,36%,1.23,1.13,18,13,11,8,60%,57%,44,60,23,49,8,6,0,1,0,0,2.16,0.49,1.16,0.49
13-09-2025,Feyenoord,Heerenveen,1,0,0.90,1.17,47%,53%,10,11,5,1,3,1,6,3,81%,74%,1.86,0.32,4,4,1,6,8,7,1,4,0,0,27,29,0,0,4,1,11,9,49%,38%,66%,63%,16%,13%,0.65,1.18,18,23,10,11,71%,88%,60,36,43,23,11,8,1,0,0,0,0.32,1.86,0.32,0.86
13-09-2025,Twente,Breda,2,2,2.21,0.62,60%,40%,15,10,6,4,5,1,4,3,77%,65%,2.04,1.01,6,3,3,3,9,6,6,4,1,0,32,15,0,0,0,3,16,15,49%,37%,66%,47%,19%,30%,2.19,0.71,25,29,15,17,58%,85%,76,57,28,46,6,10,0,0,1,0,1.01,2.04,-0.99,0.04
13-09-2025,G.A. Eagles,FC Volendam,3,0,2.14,1.31,46%,54%,19,19,13,1,6,2,7,7,79%,84%,3.88,0.10,4,8,2,10,12,11,7,8,0,0,19,32,1,0,2,1,8,12,44%,53%,67%,69%,37%,14%,1.64,0.89,17,16,12,9,67%,20%,36,34,33,20,8,11,0,1,0,1,0.10,3.88,0.10,0.88
13-09-2025,Nijmegen,PSV,3,5,2.01,2.23,57%,43%,20,18,7,11,2,7,8,4,73%,71%,1.84,5.21,7,4,6,3,10,13,10,5,1,0,31,34,0,1,4,1,18,7,36%,36%,61%,61%,9%,60%,0.52,1.41,23,13,8,18,60%,65%,56,66,11,35,5,5,1,2,0,0,5.21,1.84,0.21,-1.16
13-09-2025,Ajax,Zwolle,3,1,2.59,0.53,59%,41%,12,8,7,3,5,3,7,1,88%,82%,3.22,0.65,4,2,1,3,11,5,1,3,0,0,34,25,2,0,2,2,9,17,49%,41%,81%,70%,9%,64%,2.29,1.02,15,10,18,9,82%,71%,42,44,21,29,14,10,0,0,0,0,0.65,3.22,-0.35,0.22
31-08-2025,Breda,Alkmaar,0,1,1.96,2.82,38%,62%,11,25,6,8,2,5,1,7,76%,87%,1.68,1.56,2,10,3,7,9,15,2,10,0,1,24,47,0,0,1,3,11,8,42%,56%,69%,83%,27%,29%,0.69,2.20,16,12,8,13,59%,64%,50,41,31,30,5,4,1,0,0,0,1.56,1.68,0.56,1.68
