DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS,EXPECTED_GOALS_HOME,EXPECTED_GOALS_AWAY,TEAM_POSSESION_HOME,TEAM_POSSESION_AWAY,TOTAL_SHOTS_HOME,TOTAL_SHOTS_AWAY,SHOTS_ON_TARGET_HOME,SHOTS_ON_TARGET_AWAY,BIG_CHANCES_HOME,BIG_CHANCES AWAY,CORNERS_HOME,CORNERS_AWAY,%_PASSES_SUCCEED_HOME,%_PASSES_SUCCEED_AWAY,EXPECTED_GOALS_REMATES_À_BALIZA_HOME,EXPECTED_GOALS_REMATES_À_BALIZA_AWAY,SHOTS_OF_TARGET_HOME,SHOTS_OF_TARGET_AWAY,BLOCKED_SHOTS_HOME,BLOCKED_SHOTS_AWAY,SHOTS_INSIDE_THE_BOX_HOME,SHOTS_INSIDE_THE_BOX_AWAY,SHOTS_OUTSIDE_THE_BOX_HOME,SHOTS_OUTSIDE_THE_BOX_AWAY,SHOTS_AT_CROSSBAR_HOME,SHOTS_AT_CROSSBAR_AWAY,TOUCHES_IN_THE_OPPOSITION_AREA_HOME,TOUCHES_IN_THE_OPPOSITION_AREA_AWAY,ACCURATE_DEEP_PASSES_HOME,ACCURATE_DEEP_PASSES_AWAY,OFFSIDES_HOME,OFFSIDES_AWAY,FREE_KICK_HOME,FREE_KICK_AWAY,%_LONG_PASSES_HOME,%_LONG_PASSES_AWAY,%_PASSES_FINAL_THIRD_HOME,%_PASSES_FINAL_THIRD_AWAY,%_CROSSES_HOME,%_CROSSES_AWAY,EXPECTED_ASSISTS_HOME,EXPECTED_ASSISTS_AWAY,THROWS_HOME,THROWS_AWAY,FOULS_HOME,FOULS_AWAY,%_TACKLES_HOME,%_TACKLES_AWAY,DUELS_WON_HOME,DUELS_WON_AWAY,CLEARENCES_HOME,CLEARENCES_AWAY,INTERCEPTIONS_HOME,INTERCEPTIONS_AWAY,ERRORS_THAT_LEAD_TO_SHOTS_HOME,ERRORS_THAT_LEAD_TO_SHOTS_AWAY,ERROS_THAT_LEAD_TO_GOAL_HOME,ERROS_THAT_LEAD_TO_GOAL_AWAY,EXPECTED_GOALS_ON_TARGET_FACED_HOME,EXPECTED_GOALS_ON_TARGET_FACED_AWAY,GOLS_PREVENTED_HOME,GOLS_PREVENTED_AWAY
14-09-2025,Levante,Betis,2,2,0.70,2.00,33%,67%,5,28,2,9,1,2,4,12,73%,89%,1.27,1.58,2,8,1,11,4,21,1,7,0,1,17,51,3,0,2,1,10,16,43%,69%,62%,79%,18%,27%,0.84,2.32,13,23,16,11,62%,56%,50,64,38,27,9,6,0,0,0,2,1.58,1.27,-0.42,-0.73
14-09-2025,Celta Vigo,Girona,1,1,2.25,0.61,60%,40%,21,13,7,8,2,2,10,3,88%,82%,2.60,1.15,9,2,5,3,14,10,7,3,0,0,40,28,0,1,0,3,9,7,59%,26%,80%,69%,41%,50%,1.34,0.95,19,14,7,9,67%,69%,40,42,12,25,8,17,0,0,0,0,1.15,2.60,0.15,1.60
13-09-2025,Atl. Madrid,Villarreal,2,0,1.00,1.03,61%,39%,8,8,3,1,3,1,8,3,90%,86%,1.42,0.12,3,4,2,3,5,5,3,3,0,1,16,16,0,0,1,0,15,12,67%,56%,80%,83%,24%,22%,0.90,0.52,13,15,12,15,36%,75%,41,42,17,15,5,9,1,0,0,1,0.12,1.42,0.12,-0.58
13-09-2025,Ath. Bilbao,Alaves,0,1,1.07,0.08,58%,42%,12,4,3,2,1,0,6,6,81%,72%,0.82,0.35,4,2,5,0,7,0,5,4,0,0,27,6,1,0,2,1,20,17,56%,37%,66%,46%,23%,0%,1.00,0.06,25,20,17,21,55%,55%,66,73,17,39,10,12,1,1,0,0,0.35,0.82,0.35,0.82
13-09-2025,Real Sociedad,Real Madrid,1,2,2.23,2.42,64%,36%,23,16,4,6,5,3,12,4,86%,77%,0.98,2.42,7,7,12,3,15,14,8,2,1,2,37,29,2,1,0,2,5,17,47%,48%,79%,69%,33%,50%,1.82,1.60,16,11,17,7,46%,56%,40,60,13,35,6,10,0,0,1,0,2.42,0.98,0.42,-0.02
13-09-2025,Getafe,R. Oviedo,2,0,0.75,0.46,48%,52%,10,5,3,1,2,1,4,3,78%,81%,1.68,0.06,4,2,3,2,6,1,4,4,0,1,16,7,0,0,1,1,18,12,40%,45%,66%,67%,27%,7%,0.47,0.23,24,34,12,18,69%,70%,46,53,25,44,8,5,0,1,0,1,0.06,1.68,0.06,-0.32
12-09-2025,Sevilla,Elche,2,2,0.40,0.96,53%,47%,7,5,3,2,0,3,2,2,86%,82%,1.10,0.86,2,3,2,0,4,2,3,3,0,0,16,15,1,0,1,0,19,23,44%,44%,77%,64%,32%,33%,0.60,0.56,21,13,23,19,55%,32%,63,60,25,26,9,9,0,1,0,0,0.86,1.10,-1.14,-0.90
31-08-2025,Rayo Vallecano,Barcelona,1,1,1.85,1.82,43%,57%,12,12,6,3,5,4,9,4,75%,82%,1.77,0.90,3,6,3,3,9,8,3,4,0,0,13,23,2,1,7,2,8,16,45%,39%,56%,68%,22%,50%,1.03,0.96,18,15,16,8,53%,61%,37,61,12,24,8,8,1,0,0,0,0.90,1.77,-0.10,0.77
31-08-2025,Espanyol,Osasuna,1,0,1.21,1.37,45%,55%,10,10,4,3,2,3,2,3,78%,82%,1.40,0.57,5,5,1,2,7,6,3,4,0,1,14,24,0,1,2,1,13,12,23%,50%,59%,66%,22%,35%,1.16,1.86,16,14,13,14,56%,50%,46,56,34,15,2,10,0,0,0,0,0.57,1.40,0.57,0.40
31-08-2025,Betis,Ath. Bilbao,1,2,0.62,1.10,50%,50%,9,15,2,6,1,2,4,10,82%,85%,1.02,0.87,4,5,3,4,6,9,3,6,1,0,18,24,0,1,3,2,15,9,45%,46%,68%,73%,27%,25%,0.41,0.89,18,22,9,16,64%,73%,65,43,20,18,12,11,0,1,0,0,0.87,1.02,-0.13,0.02
31-08-2025,Celta Vigo,Villarreal,1,1,0.96,1.04,65%,35%,10,8,2,3,2,1,1,5,88%,81%,0.70,0.90,4,4,4,1,6,5,4,3,0,0,25,20,1,0,0,0,7,8,50%,36%,74%,74%,8%,25%,1.23,0.69,17,23,11,8,74%,57%,37,43,14,22,7,13,0,2,0,0,0.90,0.70,-0.10,-0.30
30-08-2025,Real Madrid,Mallorca,2,1,1.82,0.72,58%,42%,17,9,7,5,2,1,4,5,89%,79%,2.25,0.72,6,2,4,2,7,8,10,1,0,0,46,14,1,0,3,1,6,10,63%,39%,85%,64%,7%,19%,1.40,0.85,18,8,12,7,62%,43%,38,38,19,24,7,7,0,1,0,1,0.72,2.25,-0.28,0.25
30-08-2025,Girona,Sevilla,0,2,2.13,1.32,59%,41%,20,13,5,4,3,2,11,3,84%,79%,1.95,1.26,6,6,9,3,12,10,8,3,0,1,43,24,0,1,2,0,13,5,45%,46%,63%,65%,17%,60%,1.07,0.71,23,13,5,14,53%,53%,53,34,16,47,2,3,2,0,1,0,1.26,1.95,-0.74,1.95
