DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS,EXPECTED_GOALS_HOME,EXPECTED_GOALS_AWAY,TEAM_POSSESION_HOME,TEAM_POSSESION_AWAY,TOTAL_SHOTS_HOME,TOTAL_SHOTS_AWAY,SHOTS_ON_TARGET_HOME,SHOTS_ON_TARGET_AWAY,BIG_CHANCES_HOME,BIG_CHANCES AWAY,CORNERS_HOME,CORNERS_AWAY,%_PASSES_SUCCEED_HOME,%_PASSES_SUCCEED_AWAY,EXPECTED_GOALS_REMATES_À_BALIZA_HOME,EXPECTED_GOALS_REMATES_À_BALIZA_AWAY,SHOTS_OF_TARGET_HOME,SHOTS_OF_TARGET_AWAY,BLOCKED_SHOTS_HOME,BLOCKED_SHOTS_AWAY,SHOTS_INSIDE_THE_BOX_HOME,SHOTS_INSIDE_THE_BOX_AWAY,SHOTS_OUTSIDE_THE_BOX_HOME,SHOTS_OUTSIDE_THE_BOX_AWAY,SHOTS_AT_CROSSBAR_HOME,SHOTS_AT_CROSSBAR_AWAY,TOUCHES_IN_THE_OPPOSITION_AREA_HOME,TOUCHES_IN_THE_OPPOSITION_AREA_AWAY,ACCURATE_DEEP_PASSES_HOME,ACCURATE_DEEP_PASSES_AWAY,OFFSIDES_HOME,OFFSIDES_AWAY,FREE_KICK_HOME,FREE_KICK_AWAY,%_LONG_PASSES_HOME,%_LONG_PASSES_AWAY,%_PASSES_FINAL_THIRD_HOME,%_PASSES_FINAL_THIRD_AWAY,%_CROSSES_HOME,%_CROSSES_AWAY,EXPECTED_ASSISTS_HOME,EXPECTED_ASSISTS_AWAY,THROWS_HOME,THROWS_AWAY,FOULS_HOME,FOULS_AWAY,%_TACKLES_HOME,%_TACKLES_AWAY,DUELS_WON_HOME,DUELS_WON_AWAY,CLEARENCES_HOME,CLEARENCES_AWAY,INTERCEPTIONS_HOME,INTERCEPTIONS_AWAY,ERRORS_THAT_LEAD_TO_SHOTS_HOME,ERRORS_THAT_LEAD_TO_SHOTS_AWAY,ERROS_THAT_LEAD_TO_GOAL_HOME,ERROS_THAT_LEAD_TO_GOAL_AWAY,EXPECTED_GOALS_ON_TARGET_FACED_HOME,EXPECTED_GOALS_ON_TARGET_FACED_AWAY,GOLS_PREVENTED_HOME,GOLS_PREVENTED_AWAY
14-09-2025,Arouca,Casa Pia AC,0,2,0.27,1.49,66%,34%,8,9,3,4,0,5,7,6,85%,67%,0.44,1.48,4,4,1,1,3,9,5,0,0,0,13,16,0,2,2,4,21,18,46%,36%,71%,58%,17%,35%,0.37,1.59,29,13,18,21,73%,77%,53,74,24,42,4,4,0,0,1,0,1.48,0.44,-0.52,0.44
14-09-2025,Estrela da Amadora,Vitória SC,0,2,0.52,1.54,60%,40%,10,14,1,6,0,3,3,2,85%,80%,0.79,2.12,9,6,0,2,4,9,6,5,1,0,13,15,0,0,0,0,10,8,53%,47%,63%,72%,25%,36%,0.46,1.10,20,26,10,11,64%,87%,37,42,19,28,1,10,0,0,0,0,2.12,0.79,0.12,0.79
13-09-2025,Famalicão,Sporting CP,1,2,0.95,2.22,43%,57%,9,9,3,4,1,4,5,4,76%,87%,1.00,1.19,3,4,3,1,8,7,1,2,0,1,15,21,0,4,2,6,16,20,44%,60%,61%,67%,24%,8%,0.49,1.62,20,12,22,17,65%,54%,52,57,21,27,9,8,1,1,0,0,1.19,1.00,-0.81,0.00
13-09-2025,FC Porto,Nacional,1,0,1.88,0.08,69%,31%,11,5,5,1,3,0,5,5,83%,60%,1.86,0.21,3,2,3,2,8,0,3,5,0,0,27,4,0,0,3,1,14,6,46%,38%,68%,52%,6%,9%,0.68,0.11,33,20,6,14,89%,74%,59,57,17,31,6,18,0,0,0,0,0.21,1.86,0.21,0.86
13-09-2025,Estoril,AFS,3,1,1.67,0.95,50%,50%,15,12,5,4,3,1,1,5,76%,76%,3.01,0.87,9,8,1,0,12,6,3,6,1,0,27,12,0,0,2,6,10,11,37%,34%,59%,60%,33%,15%,1.34,0.31,10,31,11,11,82%,56%,50,55,29,9,12,3,1,4,1,0,0.87,3.01,-0.13,0.01
13-09-2025,Moreirense,Rio Ave,3,1,1.96,1.32,54%,46%,15,15,8,4,3,3,7,3,87%,86%,2.11,0.83,5,6,2,5,10,9,5,6,0,2,29,24,1,0,2,3,13,12,53%,40%,71%,67%,31%,24%,1.21,0.50,21,6,12,13,47%,90%,46,42,17,24,9,5,0,1,0,0,0.83,2.11,-0.17,-0.89
12-09-2025,Alverca,Tondela,1,0,1.65,2.36,49%,51%,12,14,4,6,2,3,5,6,81%,83%,0.63,3.12,5,6,3,2,6,9,6,5,0,0,12,22,0,0,0,2,15,13,47%,44%,64%,65%,19%,13%,0.50,1.24,20,34,13,15,62%,48%,67,44,45,17,10,9,0,0,0,0,3.12,0.63,3.12,0.63
12-09-2025,Benfica,Santa Clara,1,1,1.72,1.09,78%,22%,19,9,7,5,2,3,4,5,90%,66%,1.55,0.89,7,2,5,2,10,6,9,3,0,0,38,12,1,0,2,0,11,8,67%,32%,85%,32%,26%,29%,1.72,0.12,25,17,8,11,81%,62%,57,48,14,51,3,10,2,0,1,0,0.89,1.55,-0.11,0.55
06-09-2025,Estoril,Santa Clara,0,1,0.78,2.11,60%,40%,15,16,4,4,1,3,5,7,85%,76%,0.37,2.20,10,7,1,5,9,10,6,6,1,0,18,21,1,0,0,4,9,13,54%,40%,68%,65%,35%,21%,0.56,0.33,24,13,16,11,50%,53%,45,55,24,43,4,5,0,1,0,0,2.20,0.37,1.20,0.37
31-08-2025,Rio Ave,Braga,2,2,1.05,2.19,28%,72%,5,20,3,9,1,4,1,7,68%,89%,1.37,2.64,1,8,1,3,4,11,1,9,0,0,12,38,0,2,3,1,12,13,30%,44%,34%,78%,25%,16%,0.14,1.88,16,28,13,12,50%,44%,41,45,36,20,8,3,0,0,1,0,2.64,1.37,0.64,-0.63
31-08-2025,Santa Clara,Estrela da Amadora,0,0,1.00,0.10,55%,45%,13,3,3,0,3,0,8,0,84%,80%,0.24,0.00,5,3,5,0,8,1,5,2,0,0,22,3,0,0,2,0,10,9,53%,42%,64%,53%,11%,50%,0.64,0.22,32,17,13,11,85%,63%,57,53,28,50,5,8,0,0,0,0,0.00,0.24,0.00,-0.76
31-08-2025,Alverca,Benfica,1,2,0.74,1.02,46%,54%,11,6,7,2,1,1,5,2,87%,89%,2.04,1.20,3,2,1,2,9,4,2,2,0,1,17,20,0,0,1,0,17,12,56%,51%,77%,83%,14%,25%,0.56,0.65,15,12,12,18,82%,56%,46,46,11,27,5,9,0,0,1,0,1.20,2.04,-0.80,1.04
31-08-2025,Tondela,Estoril,2,2,2.87,1.86,51%,49%,14,21,4,5,8,3,3,4,71%,67%,1.98,1.63,8,9,2,7,9,13,5,8,2,0,18,28,0,1,9,1,10,8,40%,29%,56%,54%,13%,30%,0.50,1.51,25,24,8,11,75%,50%,60,48,30,31,7,7,0,0,0,0,1.63,1.98,-0.37,-0.02
30-08-2025,Sporting CP,FC Porto,1,2,0.92,1.52,59%,41%,20,14,3,7,1,2,5,3,82%,83%,0.50,2.09,8,4,9,3,10,5,10,9,0,2,25,19,0,0,2,1,15,8,41%,52%,79%,67%,13%,0%,0.50,0.70,27,17,8,15,64%,64%,58,49,16,33,4,9,2,4,0,0,2.09,0.50,0.09,0.50
30-08-2025,AFS,Famalicão,0,1,0.66,0.79,45%,55%,13,11,3,3,3,3,5,9,75%,80%,0.49,1.03,6,5,4,3,7,10,6,1,0,0,15,36,0,0,2,0,17,16,37%,50%,61%,69%,30%,26%,0.60,1.04,24,27,16,18,63%,10%,54,50,38,36,9,7,0,0,0,0,1.03,0.49,0.03,0.49
30-08-2025,Vitória SC,Arouca,1,1,0.35,0.45,54%,46%,12,9,3,3,1,1,2,2,81%,79%,0.64,0.79,4,5,5,1,7,5,5,4,0,0,14,11,1,0,4,0,16,15,37%,34%,57%,61%,17%,20%,0.49,0.54,26,23,15,17,69%,100%,50,38,20,36,7,11,0,1,0,0,0.79,0.64,-0.21,-0.36
30-08-2025,Casa Pia AC,Nacional,0,2,0.66,1.27,62%,38%,9,9,3,2,1,2,2,3,77%,72%,0.11,1.10,4,3,2,4,4,3,5,6,0,0,12,12,0,1,0,1,21,13,44%,35%,54%,48%,37%,27%,0.63,0.84,22,25,13,22,71%,38%,69,47,22,33,1,8,2,0,1,0,1.10,0.11,-0.90,0.11
29-08-2025,Gil Vicente,Moreirense,2,0,0.86,0.73,46%,54%,12,10,4,0,1,1,4,3,83%,88%,1.00,0.00,3,6,5,4,7,4,5,6,0,0,19,14,0,0,0,1,11,17,60%,47%,69%,73%,14%,27%,0.59,0.45,20,14,18,12,92%,62%,48,47,18,29,8,11,1,0,0,1,0.00,1.00,0.00,-1.00
25-08-2025,Estrela da Amadora,Alverca,2,2,2.60,1.09,56%,44%,19,6,6,2,3,2,6,2,78%,69%,2.52,1.14,7,3,6,1,12,4,7,2,1,0,27,11,2,0,0,1,22,16,43%,27%,59%,42%,35%,33%,0.77,0.42,27,24,18,24,56%,85%,65,53,18,29,4,11,0,0,1,0,1.14,2.52,-0.86,0.52
24-08-2025,Braga,AFS,2,2,2.30,0.51,76%,24%,21,4,5,2,2,2,11,3,88%,61%,1.83,0.75,11,1,5,1,13,4,8,0,1,0,51,11,0,0,2,0,11,7,64%,32%,80%,36%,19%,29%,1.07,0.27,26,19,9,12,56%,64%,39,43,16,45,10,10,1,0,1,1,0.75,1.83,-1.25,-0.17
24-08-2025,FC Porto,Casa Pia AC,4,0,2.63,0.22,65%,35%,20,7,7,0,5,0,7,2,89%,77%,3.85,0.00,8,4,5,3,16,2,4,5,1,0,34,4,1,0,3,0,8,11,67%,39%,74%,54%,31%,20%,1.27,0.23,21,16,11,8,40%,65%,42,50,8,20,8,14,0,0,0,1,0.00,3.85,0.00,-0.15
24-08-2025,Famalicão,Gil Vicente,0,0,0.39,1.25,45%,55%,11,20,3,8,0,0,2,9,78%,84%,0.22,1.08,7,7,1,5,8,11,3,9,0,0,20,28,0,0,2,3,17,17,40%,54%,53%,72%,29%,35%,0.23,0.89,21,14,17,18,52%,67%,55,55,35,29,6,4,1,2,0,0,1.08,0.22,1.08,0.22
23-08-2025,Arouca,Rio Ave,3,3,0.66,1.54,55%,45%,14,15,6,7,2,2,4,2,87%,84%,1.04,2.17,6,5,2,3,11,12,3,3,0,0,17,30,1,0,0,0,17,12,44%,32%,73%,70%,8%,11%,0.41,0.82,20,11,13,17,50%,64%,50,40,17,30,5,8,0,0,0,1,2.17,1.04,-0.83,-1.96
23-08-2025,Benfica,Tondela,3,0,2.96,0.47,66%,34%,21,9,12,4,6,0,13,2,87%,81%,2.98,0.95,5,2,4,3,19,6,2,3,1,0,46,13,3,0,1,1,11,9,61%,51%,79%,81%,31%,10%,2.31,0.33,19,16,10,12,54%,70%,56,40,17,35,11,6,1,0,0,0,0.95,2.98,0.95,-0.02
23-08-2025,Nacional,Sporting CP,1,4,0.71,2.67,27%,73%,3,27,1,7,2,5,3,13,66%,86%,0.24,2.28,1,11,1,9,3,16,0,11,0,1,6,49,0,2,1,1,6,18,38%,71%,56%,77%,30%,32%,0.88,2.07,14,16,18,7,45%,82%,39,50,46,9,9,5,0,0,0,0,2.28,0.24,-1.72,-0.76
23-08-2025,Moreirense,Vitória SC,2,0,1.49,0.26,49%,51%,10,11,4,4,3,0,3,7,79%,80%,1.69,0.30,3,5,3,2,7,4,3,7,1,0,16,14,0,1,0,2,17,16,39%,36%,62%,69%,13%,21%,1.47,0.99,19,20,17,17,63%,42%,50,42,34,12,9,11,0,0,0,0,0.30,1.69,0.30,-0.31
18-08-2025,Gil Vicente,FC Porto,0,2,1.12,1.55,41%,59%,14,15,2,4,1,3,1,5,81%,88%,0.35,1.87,7,8,5,3,9,11,5,4,0,0,15,24,0,0,0,1,20,8,43%,46%,66%,72%,20%,43%,0.65,1.14,19,20,9,20,87%,79%,48,45,20,15,5,9,0,2,0,0,1.87,0.35,-0.13,0.35
17-08-2025,Sporting CP,Arouca,6,0,2.86,0.22,57%,43%,19,7,10,1,4,0,6,1,89%,84%,3.88,0.03,6,3,3,3,12,1,7,6,0,0,34,3,1,0,2,1,7,6,65%,35%,77%,63%,20%,14%,1.47,0.14,19,17,7,7,64%,65%,35,36,9,22,8,7,0,0,0,0,0.03,3.88,0.03,-2.12
17-08-2025,Alverca,Braga,0,3,2.21,1.50,33%,67%,12,12,3,6,5,3,1,5,73%,88%,0.18,1.37,6,3,3,3,9,6,3,6,1,0,13,23,3,0,2,0,6,14,42%,52%,45%,77%,27%,17%,0.99,0.64,28,17,15,6,60%,57%,29,40,19,24,6,3,1,1,1,0,1.37,0.18,-1.63,0.18
17-08-2025,Santa Clara,Moreirense,0,1,0.63,1.52,58%,42%,12,6,3,2,0,5,3,0,83%,78%,0.50,1.28,6,3,3,1,8,3,4,2,0,0,19,11,1,0,2,2,18,20,32%,22%,68%,70%,26%,25%,0.77,0.94,23,16,20,18,56%,67%,59,53,9,32,8,11,1,0,1,0,1.28,0.50,0.28,0.50
17-08-2025,Rio Ave,Nacional,1,1,1.37,0.88,62%,38%,20,13,9,6,2,1,6,6,84%,72%,1.70,1.04,4,2,7,5,9,9,11,4,2,1,22,30,1,0,0,0,16,15,36%,40%,78%,62%,13%,19%,1.24,1.04,11,20,16,18,58%,53%,58,56,38,15,2,11,1,2,0,0,1.04,1.70,0.04,0.70
16-08-2025,Estrela da Amadora,Benfica,0,1,1.27,2.29,43%,57%,15,14,2,3,3,2,5,4,76%,79%,0.53,1.66,9,7,4,4,5,9,10,5,1,0,13,23,0,0,1,1,22,12,52%,48%,49%,65%,33%,30%,0.61,0.94,18,24,14,23,86%,60%,65,45,22,18,5,6,1,2,0,0,1.66,0.53,0.66,0.53
16-08-2025,Vitória SC,Estoril,3,2,1.88,0.94,55%,45%,16,11,4,5,4,2,4,2,83%,78%,2.76,1.62,8,4,4,2,7,5,9,6,0,0,24,20,0,0,4,3,15,18,49%,46%,76%,66%,8%,18%,0.77,0.70,21,27,18,17,57%,73%,51,53,33,35,3,2,0,2,1,0,1.62,2.76,0.62,-0.24
16-08-2025,Tondela,Famalicão,0,1,1.08,1.08,49%,51%,15,14,4,5,1,2,2,7,83%,78%,1.38,1.07,7,7,4,2,8,8,7,6,2,0,19,34,2,3,2,1,18,16,56%,48%,64%,64%,18%,21%,0.93,1.31,19,16,17,19,81%,56%,56,72,34,38,16,5,0,0,0,0,1.07,1.38,0.07,1.38
15-08-2025,AFS,Casa Pia AC,0,2,1.23,1.51,51%,49%,10,10,3,5,1,4,1,3,71%,70%,0.48,1.12,4,3,3,2,3,7,7,3,0,0,13,19,0,0,2,0,20,20,35%,21%,45%,48%,43%,11%,0.30,0.80,26,19,20,20,76%,75%,61,54,40,33,7,9,0,0,0,0,1.12,0.48,-0.88,0.48
11-08-2025,FC Porto,Vitória SC,3,0,2.73,0.51,49%,51%,17,10,9,2,6,0,7,4,86%,83%,2.57,0.15,6,4,2,4,10,5,7,5,0,0,27,11,0,0,2,2,9,18,54%,51%,67%,77%,25%,15%,0.74,0.29,9,21,18,9,50%,50%,32,43,22,20,8,5,0,3,0,1,0.15,2.57,0.15,-0.43
11-08-2025,Estoril,Estrela da Amadora,1,1,0.69,1.34,66%,34%,8,9,3,5,2,2,4,4,84%,73%,1.52,1.88,0,3,5,1,5,4,3,5,1,2,27,16,0,1,1,3,16,13,43%,41%,59%,61%,24%,27%,0.62,1.03,27,17,13,16,65%,74%,49,41,11,35,8,6,1,0,0,2,1.88,1.52,0.88,0.52
10-08-2025,Braga,Tondela,3,0,1.97,0.78,68%,32%,8,7,6,3,3,3,5,3,90%,81%,3.01,0.67,2,3,0,1,5,4,3,3,0,0,22,11,2,1,3,6,9,9,65%,46%,76%,55%,33%,6%,0.95,0.21,24,9,10,9,20%,50%,27,45,23,18,6,13,2,1,0,0,0.67,3.01,0.67,0.01
10-08-2025,Moreirense,Alverca,2,1,0.94,0.97,58%,42%,10,7,3,2,3,1,6,2,87%,79%,1.46,0.76,3,5,4,0,6,2,4,5,1,0,19,9,0,1,1,0,5,14,57%,42%,77%,47%,13%,44%,0.73,0.45,20,26,15,5,55%,65%,38,51,28,32,9,9,0,0,0,1,0.76,1.46,-0.24,-0.54
10-08-2025,Famalicão,Santa Clara,3,0,1.00,0.36,46%,54%,6,8,3,2,2,2,2,3,82%,88%,0.99,0.16,2,5,1,1,4,4,2,3,0,0,10,13,0,0,0,0,15,19,46%,67%,71%,64%,20%,6%,0.86,0.23,20,22,20,15,58%,57%,45,41,28,11,7,6,1,0,0,0,0.16,0.99,0.16,-2.01
09-08-2025,Arouca,AFS,3,1,1.15,1.10,53%,47%,9,15,4,2,2,4,4,5,86%,83%,2.61,0.87,3,8,2,5,7,8,2,7,0,0,11,23,0,0,0,1,17,13,49%,53%,72%,59%,10%,38%,0.53,0.72,27,17,13,17,71%,78%,42,43,24,16,5,10,0,0,0,0,0.87,2.61,-0.13,-0.39
09-08-2025,Nacional,Gil Vicente,0,2,0.85,0.65,59%,41%,15,12,4,2,1,0,14,6,75%,64%,0.66,0.83,8,6,3,4,11,7,4,5,1,2,22,11,0,0,4,1,15,20,44%,27%,49%,44%,34%,13%,0.99,0.21,30,22,21,16,71%,60%,55,50,39,44,5,8,0,0,0,0,0.83,0.66,-1.17,0.66
08-08-2025,Casa Pia AC,Sporting CP,0,2,0.43,2.85,33%,67%,7,27,2,12,1,6,2,9,78%,87%,0.21,3.82,3,9,2,6,3,20,4,7,0,2,18,47,1,2,1,1,10,13,48%,53%,61%,78%,11%,32%,0.81,1.73,13,23,14,11,54%,58%,38,43,28,19,7,4,2,0,0,0,3.82,0.21,1.82,0.21
