DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS,EXPECTED_GOALS_HOME,EXPECTED_GOALS_AWAY,TEAM_POSSESION_HOME,TEAM_POSSESION_AWAY,TOTAL_SHOTS_HOME,TOTAL_SHOTS_AWAY,SHOTS_ON_TARGET_HOME,SHOTS_ON_TARGET_AWAY,BIG_CHANCES_HOME,BIG_CHANCES AWAY,CORNERS_HOME,CORNERS_AWAY,%_PASSES_SUCCEED_HOME,%_PASSES_SUCCEED_AWAY,EXPECTED_GOALS_REMATES_À_BALIZA_HOME,EXPECTED_GOALS_REMATES_À_BALIZA_AWAY,SHOTS_OF_TARGET_HOME,SHOTS_OF_TARGET_AWAY,BLOCKED_SHOTS_HOME,BLOCKED_SHOTS_AWAY,SHOTS_INSIDE_THE_BOX_HOME,SHOTS_INSIDE_THE_BOX_AWAY,SHOTS_OUTSIDE_THE_BOX_HOME,SHOTS_OUTSIDE_THE_BOX_AWAY,SHOTS_AT_CROSSBAR_HOME,SHOTS_AT_CROSSBAR_AWAY,TOUCHES_IN_THE_OPPOSITION_AREA_HOME,TOUCHES_IN_THE_OPPOSITION_AREA_AWAY,ACCURATE_DEEP_PASSES_HOME,ACCURATE_DEEP_PASSES_AWAY,OFFSIDES_HOME,OFFSIDES_AWAY,FREE_KICK_HOME,FREE_KICK_AWAY,%_LONG_PASSES_HOME,%_LONG_PASSES_AWAY,%_PASSES_FINAL_THIRD_HOME,%_PASSES_FINAL_THIRD_AWAY,%_CROSSES_HOME,%_CROSSES_AWAY,EXPECTED_ASSISTS_HOME,EXPECTED_ASSISTS_AWAY,THROWS_HOME,THROWS_AWAY,FOULS_HOME,FOULS_AWAY,%_TACKLES_HOME,%_TACKLES_AWAY,DUELS_WON_HOME,DUELS_WON_AWAY,CLEARENCES_HOME,CLEARENCES_AWAY,INTERCEPTIONS_HOME,INTERCEPTIONS_AWAY,ERRORS_THAT_LEAD_TO_SHOTS_HOME,ERRORS_THAT_LEAD_TO_SHOTS_AWAY,ERROS_THAT_LEAD_TO_GOAL_HOME,ERROS_THAT_LEAD_TO_GOAL_AWAY,EXPECTED_GOALS_ON_TARGET_FACED_HOME,EXPECTED_GOALS_ON_TARGET_FACED_AWAY,GOLS_PREVENTED_HOME,GOLS_PREVENTED_AWAY
14-09-2025,Rennes,Lyon,3,1,2.13,1.56,48%,52%,23,8,5,5,2,4,5,4,86%,86%,1.76,1.88,9,0,9,3,13,7,10,1,1,0,34,22,0,1,3,0,13,16,55%,46%,78%,75%,16%,33%,1.03,1.24,15,15,18,13,82%,53%,43,51,11,19,12,14,0,2,0,0,1.88,1.76,0.88,-0.24
14-09-2025,Brest,Paris FC,1,2,2.57,1.55,46%,54%,23,7,8,4,2,3,6,1,79%,83%,1.80,1.77,7,1,8,2,14,5,9,2,0,0,29,13,0,0,3,1,8,11,53%,35%,57%,65%,25%,25%,0.86,0.79,27,19,11,10,67%,57%,42,57,19,40,8,8,0,0,1,0,1.77,1.80,-0.23,0.80
14-09-2025,Metz,Angers,1,1,1.75,2.05,55%,45%,9,11,5,4,2,4,4,3,88%,88%,3.30,1.83,1,6,3,1,7,7,2,3,1,0,12,21,0,2,1,3,6,10,52%,65%,70%,65%,13%,36%,0.47,1.12,19,13,10,7,72%,65%,43,45,14,32,6,5,0,0,0,0,1.83,3.30,0.83,2.30
14-09-2025,PSG,Lens,2,0,0.80,1.14,68%,32%,14,11,6,3,1,2,4,3,93%,83%,0.88,0.41,3,7,5,1,6,6,8,5,0,0,28,18,0,0,0,0,8,7,70%,43%,84%,77%,33%,20%,0.84,0.54,20,10,10,8,79%,58%,34,42,11,14,4,11,0,0,0,0,0.41,0.88,0.41,-1.12
14-09-2025,Strasbourg,Le Havre,1,0,1.35,0.69,49%,51%,9,10,7,1,2,0,4,3,89%,87%,1.55,0.10,1,7,1,2,8,5,1,5,1,0,16,15,1,0,1,1,16,7,62%,47%,73%,73%,29%,23%,0.73,1.23,16,16,8,16,78%,72%,57,45,23,17,3,8,0,0,0,0,0.10,1.55,0.10,0.55
14-09-2025,Lille,Toulouse,2,1,2.14,0.94,70%,30%,21,9,5,4,3,2,7,6,87%,74%,1.85,1.47,8,3,8,2,15,5,6,4,0,1,30,15,0,0,1,2,9,11,51%,38%,70%,63%,33%,13%,1.26,0.24,17,13,12,10,71%,50%,42,48,20,35,9,16,2,1,0,0,1.47,1.85,0.47,-0.15
13-09-2025,Auxerre,Monaco,1,2,0.67,1.42,33%,67%,9,13,2,3,1,3,5,8,72%,85%,0.43,1.32,4,6,3,4,4,12,5,1,0,1,11,34,2,0,0,1,19,12,43%,51%,62%,70%,9%,42%,0.70,1.90,10,33,12,19,80%,53%,63,53,31,26,20,8,1,1,0,0,1.32,0.43,-0.68,0.43
13-09-2025,Nice,Nantes,1,0,1.29,0.67,59%,41%,19,14,8,3,7,1,7,4,86%,79%,0.67,0.46,8,7,3,4,13,7,6,7,1,0,24,20,0,0,7,0,13,16,43%,52%,74%,65%,41%,29%,0.93,0.70,17,12,16,13,53%,64%,45,47,22,22,7,5,0,2,0,0,0.46,0.67,0.41,-0.33
12-09-2025,Marseille,Lorient,4,0,2.26,0.14,72%,28%,15,4,8,1,4,0,10,0,93%,84%,2.60,0.01,2,1,5,2,10,3,5,1,0,0,39,5,0,0,1,0,5,16,75%,42%,88%,65%,38%,50%,2.25,0.10,12,8,18,5,43%,75%,45,40,2,21,4,6,0,1,0,0,0.01,2.60,0.01,-1.40
31-08-2025,Lyon,Marseille,1,0,3.04,0.76,58%,42%,18,5,6,2,6,2,9,4,86%,79%,1.54,0.45,7,1,5,2,12,3,6,2,1,0,31,6,0,1,1,1,11,15,58%,37%,83%,57%,24%,0%,1.14,0.37,15,19,16,11,80%,57%,39,43,17,31,9,4,1,0,0,0,0.45,1.54,0.45,1.54
31-08-2025,Le Havre,Nice,3,1,2.56,0.63,41%,59%,12,7,8,3,4,2,0,5,79%,85%,3.35,1.15,2,2,2,2,8,5,4,2,0,0,18,17,2,2,0,0,15,13,48%,50%,58%,71%,19%,17%,1.33,1.44,23,20,13,16,50%,64%,48,49,26,20,4,6,0,1,0,1,1.15,3.35,0.15,0.35
31-08-2025,Monaco,Strasbourg,3,2,1.94,1.63,43%,57%,12,12,4,4,4,2,6,5,84%,88%,2.36,1.70,4,5,4,3,10,10,2,2,1,0,22,30,2,2,4,2,12,13,56%,60%,70%,77%,29%,20%,1.65,1.18,17,16,13,12,74%,55%,56,57,24,11,10,2,0,1,0,1,1.70,2.36,-0.30,-0.64
31-08-2025,Paris FC,Metz,3,2,3.21,1.84,51%,49%,24,14,9,2,5,2,14,6,88%,88%,3.94,1.51,12,7,3,5,19,10,5,4,1,0,44,25,3,0,0,1,8,4,50%,48%,77%,74%,19%,22%,1.64,1.15,16,12,4,8,43%,50%,31,42,26,35,7,5,0,1,1,1,1.51,3.94,-0.49,0.94
31-08-2025,Angers,Rennes,1,1,1.24,1.46,37%,63%,10,15,7,7,3,2,1,7,87%,91%,1.31,1.72,3,4,0,4,6,9,4,6,0,0,9,17,0,1,4,0,11,8,47%,54%,73%,80%,25%,23%,0.63,1.88,10,18,9,11,53%,53%,40,39,14,11,4,6,1,2,0,0,1.72,1.31,0.72,0.31
30-08-2025,Toulouse,PSG,3,6,2.22,2.61,24%,76%,14,13,6,8,4,3,5,7,77%,94%,2.67,4.65,3,3,5,2,8,9,6,4,0,1,20,34,0,1,1,0,11,7,66%,70%,63%,87%,18%,0%,0.62,0.89,9,9,7,11,76%,57%,49,31,18,15,13,7,1,0,0,0,4.65,2.67,-1.35,-0.33
30-08-2025,Nantes,Auxerre,1,0,0.48,0.68,43%,57%,4,14,3,4,1,2,3,9,78%,83%,0.54,0.54,0,3,1,7,1,8,3,6,1,0,6,24,0,1,1,6,11,12,33%,53%,40%,65%,0%,25%,0.07,0.76,11,28,13,11,79%,67%,49,41,41,24,8,9,0,1,0,0,0.54,0.54,0.54,-0.46
30-08-2025,Lorient,Lille,1,7,1.50,3.50,41%,59%,6,20,2,11,3,9,3,8,84%,87%,1.66,4.61,3,3,1,6,5,15,1,5,0,1,11,34,0,1,3,2,17,13,51%,57%,80%,73%,7%,20%,0.24,1.36,13,13,14,18,45%,64%,42,46,22,10,17,9,0,0,1,0,4.61,1.66,-2.39,0.66
29-08-2025,Lens,Brest,3,1,3.99,1.08,68%,32%,30,9,10,2,8,1,15,1,85%,73%,5.00,1.06,9,2,11,5,26,7,4,2,0,0,55,17,0,1,2,0,10,7,50%,49%,79%,61%,29%,25%,2.43,0.56,12,16,7,12,73%,67%,54,65,19,30,6,8,0,1,0,0,1.06,5.00,0.06,2.00
24-08-2025,Lille,Monaco,1,0,2.92,1.25,50%,50%,18,6,1,1,4,3,8,3,83%,80%,0.56,0.68,13,4,4,1,10,5,8,1,0,0,34,15,1,0,2,0,14,7,61%,33%,74%,69%,25%,14%,1.46,0.53,19,26,7,14,60%,64%,58,38,23,26,17,11,2,0,0,0,0.68,0.56,0.68,-0.44
24-08-2025,Le Havre,Lens,1,2,1.89,1.07,57%,43%,18,6,6,3,4,2,7,0,83%,86%,0.92,1.55,7,2,5,1,11,4,7,2,1,0,35,11,1,0,2,0,15,16,49%,61%,66%,75%,26%,33%,1.57,0.40,28,8,17,16,36%,68%,49,55,9,36,10,17,1,1,0,0,1.55,0.92,-0.45,-0.08
24-08-2025,Strasbourg,Nantes,1,0,1.78,0.44,49%,51%,15,9,4,2,2,1,7,6,88%,83%,1.54,0.28,6,2,5,5,9,7,6,2,0,0,19,20,0,0,4,2,9,11,56%,55%,73%,66%,22%,21%,0.79,0.27,19,25,11,9,58%,43%,46,63,21,24,7,6,0,0,0,0,0.28,1.54,0.28,0.54
