DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS,EXPECTED_GOALS_HOME,EXPECTED_GOALS_AWAY,TEAM_POSSESION_HOME,TEAM_POSSESION_AWAY,TOTAL_SHOTS_HOME,TOTAL_SHOTS_AWAY,SHOTS_ON_TARGET_HOME,SHOTS_ON_TARGET_AWAY,BIG_CHANCES_HOME,BIG_CHANCES AWAY,CORNERS_HOME,CORNERS_AWAY,%_PASSES_SUCCEED_HOME,%_PASSES_SUCCEED_AWAY,EXPECTED_GOALS_REMATES_À_BALIZA_HOME,EXPECTED_GOALS_REMATES_À_BALIZA_AWAY,SHOTS_OF_TARGET_HOME,SHOTS_OF_TARGET_AWAY,BLOCKED_SHOTS_HOME,BLOCKED_SHOTS_AWAY,SHOTS_INSIDE_THE_BOX_HOME,SHOTS_INSIDE_THE_BOX_AWAY,SHOTS_OUTSIDE_THE_BOX_HOME,SHOTS_OUTSIDE_THE_BOX_AWAY,SHOTS_AT_CROSSBAR_HOME,SHOTS_AT_CROSSBAR_AWAY,TOUCHES_IN_THE_OPPOSITION_AREA_HOME,TOUCHES_IN_THE_OPPOSITION_AREA_AWAY,ACCURATE_DEEP_PASSES_HOME,ACCURATE_DEEP_PASSES_AWAY,OFFSIDES_HOME,OFFSIDES_AWAY,FREE_KICK_HOME,FREE_KICK_AWAY,%_LONG_PASSES_HOME,%_LONG_PASSES_AWAY,%_PASSES_FINAL_THIRD_HOME,%_PASSES_FINAL_THIRD_AWAY,%_CROSSES_HOME,%_CROSSES_AWAY,EXPECTED_ASSISTS_HOME,EXPECTED_ASSISTS_AWAY,THROWS_HOME,THROWS_AWAY,FOULS_HOME,FOULS_AWAY,%_TACKLES_HOME,%_TACKLES_AWAY,DUELS_WON_HOME,DUELS_WON_AWAY,CLEARENCES_HOME,CLEARENCES_AWAY,INTERCEPTIONS_HOME,INTERCEPTIONS_AWAY,ERRORS_THAT_LEAD_TO_SHOTS_HOME,ERRORS_THAT_LEAD_TO_SHOTS_AWAY,ERROS_THAT_LEAD_TO_GOAL_HOME,ERROS_THAT_LEAD_TO_GOAL_AWAY,EXPECTED_GOALS_ON_TARGET_FACED_HOME,EXPECTED_GOALS_ON_TARGET_FACED_AWAY,GOLS_PREVENTED_HOME,GOLS_PREVENTED_AWAY
14-09-2025,Burnley,Liverpool,0,1,0.13,2.45,19%,81%,3,27,0,4,0,3,1,13,49%,88%,0.00,1.28,3,11,0,12,1,14,2,13,0,0,2,55,0,0,3,1,7,8,26%,55%,36%,87%,0%,20%,0.04,1.73,11,21,9,9,69%,70%,39,57,47,12,16,6,0,0,0,0,1.28,0.00,0.28,0.00
13-09-2025,Brentford,Chelsea,2,2,1.42,1.25,34%,66%,7,16,4,6,1,2,5,6,76%,91%,2.30,2.23,2,3,1,7,7,10,0,6,0,1,20,38,0,1,0,4,9,13,56%,56%,61%,80%,33%,18%,0.81,1.04,15,20,13,9,59%,60%,44,46,33,33,6,13,1,0,0,0,2.23,2.30,0.23,0.30
13-09-2025,West Ham,Tottenham,0,3,0.60,1.29,36%,64%,7,14,4,5,1,2,2,13,77%,87%,0.29,2.22,3,4,0,5,6,10,1,4,0,0,10,37,0,0,0,4,6,8,29%,55%,64%,73%,33%,16%,0.51,0.89,19,21,8,7,69%,69%,47,48,41,10,5,3,0,0,0,0,2.22,0.29,-0.78,0.29
13-09-2025,Bournemouth,Brighton,2,1,1.45,0.62,51%,49%,13,6,5,2,1,2,4,4,79%,78%,1.49,1.28,4,2,4,2,7,5,6,1,0,0,28,24,0,0,1,0,10,16,45%,46%,65%,61%,21%,18%,0.93,0.38,17,20,16,10,78%,80%,51,55,35,35,3,6,0,0,1,0,1.28,1.49,0.28,-0.51
13-09-2025,Crystal Palace,Sunderland,0,0,1.77,0.36,56%,44%,14,6,6,0,3,0,5,3,84%,80%,1.36,0.00,4,4,4,2,8,5,6,1,0,0,21,17,1,0,0,2,7,9,47%,41%,67%,56%,25%,24%,1.01,0.50,23,21,10,8,60%,69%,33,53,25,34,6,10,1,0,0,0,0.00,1.36,0.00,1.36
13-09-2025,Everton,Aston Villa,0,0,2.08,0.54,48%,52%,20,7,2,1,3,0,10,3,82%,82%,0.29,0.13,9,1,9,5,14,3,6,4,1,0,46,8,0,0,2,2,15,16,51%,29%,77%,71%,36%,30%,1.25,0.36,20,14,17,15,70%,69%,66,51,17,19,5,4,0,1,0,0,0.13,0.29,0.13,0.29
13-09-2025,Fulham,Leeds,1,0,0.85,0.79,54%,46%,5,10,3,3,2,1,3,3,85%,81%,0.88,0.51,2,3,0,4,3,7,2,3,0,1,10,21,0,0,1,3,15,20,49%,44%,69%,65%,14%,8%,0.61,0.62,25,15,20,15,67%,61%,59,60,23,30,6,7,0,0,0,0,0.51,0.88,0.51,0.88
13-09-2025,Newcastle,Wolves,1,0,1.56,0.50,57%,43%,16,8,4,3,1,0,9,4,80%,76%,1.75,0.37,7,3,5,2,8,7,8,1,1,0,28,22,0,2,1,0,17,9,40%,33%,67%,66%,32%,20%,1.03,0.58,28,18,10,17,50%,50%,53,46,20,34,6,14,0,0,0,0,0.37,1.75,0.37,0.75
13-09-2025,Arsenal,Nottingham,3,0,1.84,0.20,54%,46%,16,5,5,1,5,0,8,3,87%,86%,2.35,0.06,6,1,5,3,12,3,4,2,1,1,38,14,0,0,2,0,11,7,50%,42%,74%,73%,25%,15%,1.67,0.19,12,23,8,11,85%,67%,44,32,15,19,7,11,0,2,0,0,0.06,2.35,0.06,-0.65
31-08-2025,Aston Villa,Crystal Palace,0,3,1.14,2.65,58%,42%,13,6,4,4,2,4,10,1,89%,85%,1.01,2.45,8,1,1,1,10,5,3,1,0,0,20,14,0,2,0,2,13,7,64%,44%,77%,69%,19%,18%,0.68,1.19,20,9,7,14,45%,62%,37,48,17,37,6,10,0,1,0,0,2.45,1.01,-0.55,1.01
