DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS,EXPECTED_GOALS_HOME,EXPECTED_GOALS_AWAY,TEAM_POSSESION_HOME,TEAM_POSSESION_AWAY,TOTAL_SHOTS_HOME,TOTAL_SHOTS_AWAY,SHOTS_ON_TARGET_HOME,SHOTS_ON_TARGET_AWAY,BIG_CHANCES_HOME,BIG_CHANCES AWAY,CORNERS_HOME,CORNERS_AWAY,%_PASSES_SUCCEED_HOME,%_PASSES_SUCCEED_AWAY,EXPECTED_GOALS_REMATES_À_BALIZA_HOME,EXPECTED_GOALS_REMATES_À_BALIZA_AWAY,SHOTS_OF_TARGET_HOME,SHOTS_OF_TARGET_AWAY,BLOCKED_SHOTS_HOME,BLOCKED_SHOTS_AWAY,SHOTS_INSIDE_THE_BOX_HOME,SHOTS_INSIDE_THE_BOX_AWAY,SHOTS_OUTSIDE_THE_BOX_HOME,SHOTS_OUTSIDE_THE_BOX_AWAY,SHOTS_AT_CROSSBAR_HOME,SHOTS_AT_CROSSBAR_AWAY,TOUCHES_IN_THE_OPPOSITION_AREA_HOME,TOUCHES_IN_THE_OPPOSITION_AREA_AWAY,ACCURATE_DEEP_PASSES_HOME,ACCURATE_DEEP_PASSES_AWAY,OFFSIDES_HOME,OFFSIDES_AWAY,FREE_KICK_HOME,FREE_KICK_AWAY,%_LONG_PASSES_HOME,%_LONG_PASSES_AWAY,%_PASSES_FINAL_THIRD_HOME,%_PASSES_FINAL_THIRD_AWAY,%_CROSSES_HOME,%_CROSSES_AWAY,EXPECTED_ASSISTS_HOME,EXPECTED_ASSISTS_AWAY,THROWS_HOME,THROWS_AWAY,FOULS_HOME,FOULS_AWAY,%_TACKLES_HOME,%_TACKLES_AWAY,DUELS_WON_HOME,DUELS_WON_AWAY,CLEARENCES_HOME,CLEARENCES_AWAY,INTERCEPTIONS_HOME,INTERCEPTIONS_AWAY,ERRORS_THAT_LEAD_TO_SHOTS_HOME,ERRORS_THAT_LEAD_TO_SHOTS_AWAY,ERROS_THAT_LEAD_TO_GOAL_HOME,ERROS_THAT_LEAD_TO_GOAL_AWAY,EXPECTED_GOALS_ON_TARGET_FACED_HOME,EXPECTED_GOALS_ON_TARGET_FACED_AWAY,GOLS_PREVENTED_HOME,GOLS_PREVENTED_AWAY
14-09-2025,AC Milan,Bologna,1,0,0.81,0.17,39%,61%,14,5,3,0,2,0,7,4,86%,87%,0.88,0.00,7,2,4,3,10,3,4,2,4,0,23,9,2,0,2,1,16,17,52%,60%,74%,76%,21%,26%,0.79,0.24,18,12,17,16,79%,53%,45,47,23,19,5,3,1,3,0,0,0.00,0.88,0.00,-0.12
14-09-2025,Sassuolo,Lazio,1,0,1.16,0.76,41%,59%,10,13,3,3,1,1,3,7,84%,87%,1.72,1.05,5,6,2,4,8,11,2,2,0,0,22,21,0,1,0,1,11,15,48%,38%,61%,75%,40%,21%,0.33,0.60,18,18,15,11,60%,58%,49,42,31,15,12,9,0,1,0,0,1.05,1.72,1.05,0.72
14-09-2025,Atalanta,Lecce,4,1,2.12,0.47,57%,43%,19,12,8,3,4,1,8,2,86%,80%,2.13,0.65,8,4,3,5,13,4,6,8,1,0,34,18,0,0,3,1,7,12,41%,38%,73%,67%,13%,33%,0.91,0.45,14,18,12,7,79%,46%,47,44,20,30,6,9,1,1,0,1,0.65,2.13,-0.35,-1.87
14-09-2025,Pisa,Udinese,0,1,0.53,1.00,51%,49%,12,13,2,3,2,4,8,6,83%,80%,0.06,0.87,6,4,4,6,9,7,3,6,0,0,22,23,0,0,1,1,15,11,51%,38%,74%,65%,17%,6%,0.50,0.54,16,20,13,15,64%,54%,57,43,23,34,4,5,2,2,0,0,0.87,0.06,-0.13,0.06
14-09-2025,AS Roma,Torino,0,1,1.14,0.65,73%,27%,22,8,5,4,0,1,7,4,90%,70%,0.80,2.14,10,3,7,1,12,4,10,4,0,0,30,9,0,0,1,4,17,11,63%,29%,84%,50%,23%,43%,0.92,0.54,19,14,11,17,50%,65%,51,58,11,42,7,5,0,0,0,0,2.14,0.80,1.14,0.80
13-09-2025,Fiorentina,Napoli,1,3,1.65,3.29,53%,47%,19,14,3,9,2,6,8,5,82%,83%,0.43,3.53,8,2,8,3,14,11,5,3,0,1,32,27,1,2,0,0,14,13,38%,34%,62%,69%,30%,8%,1.44,1.71,14,11,14,14,54%,79%,52,53,15,32,6,6,0,1,0,0,3.53,0.43,0.53,-0.57
13-09-2025,Juventus,Inter,4,3,0.68,0.96,41%,59%,12,18,4,4,1,1,5,9,83%,90%,1.23,1.18,3,8,5,6,5,8,7,10,0,0,15,33,1,0,1,1,10,14,38%,67%,67%,85%,30%,31%,0.66,1.08,14,21,14,10,59%,44%,40,44,38,19,6,6,1,0,0,0,1.18,1.23,-1.82,-2.77
13-09-2025,Cagliari,Parma,2,0,1.12,1.96,51%,49%,12,17,5,5,4,4,4,5,81%,81%,1.59,1.03,3,5,4,7,8,11,4,6,1,1,16,26,0,0,3,0,17,15,43%,37%,63%,62%,15%,35%,0.49,0.99,21,19,15,18,57%,65%,53,58,32,14,10,5,2,1,0,1,1.03,1.59,1.03,-0.41
31-08-2025,Inter,Udinese,1,2,1.97,1.21,68%,32%,16,10,4,5,3,2,13,2,86%,73%,1.43,2.07,10,4,2,1,13,4,3,6,0,0,41,13,0,0,2,0,5,14,58%,36%,71%,59%,22%,8%,0.93,0.29,25,21,17,5,50%,38%,48,47,16,45,5,4,1,0,0,0,2.07,1.43,0.07,0.43
31-08-2025,Lazio,Verona,4,0,4.13,0.92,70%,30%,22,12,6,4,6,1,8,1,92%,79%,3.63,0.80,8,5,8,3,14,8,8,4,0,1,31,20,3,1,1,1,19,7,77%,47%,78%,62%,20%,29%,2.31,0.64,17,12,8,19,67%,60%,52,37,5,24,14,9,4,0,0,2,0.80,3.63,0.80,-0.37
